,id,label,latitude,longitude,updated_at,current_stop_sequence,speed,occupancy_status,direction_id,route_id,trip_id,bearing,stop_id,vehicle_status,last_modified
43,y1840,1840,42.372974,-71.117333,2025-11-13 19:40:15,24.0,,MANY_SEATS_AVAILABLE,0,1,71465925,298.0,,IN_TRANSIT_TO,2025-11-14 00:40:25
44,y1844,1844,42.329806,-71.084248,2025-11-14 01:36:02,24.0,,MANY_SEATS_AVAILABLE,1,1,71466256,126.0,,IN_TRANSIT_TO,2025-11-14 06:36:06
45,y1846,1846,42.329836,-71.084338,2025-11-13 10:21:10,24.0,,MANY_SEATS_AVAILABLE,1,1,71468240,128.0,,IN_TRANSIT_TO,2025-11-13 15:21:16
46,y1852,1852,42.329863,-71.084138,2025-11-12 10:26:42,24.0,,FEW_SEATS_AVAILABLE,1,1,71468240,92.0,,IN_TRANSIT_TO,2025-11-12 15:26:52
47,y1853,1853,42.329866,-71.084145,2025-11-14 10:45:31,24.0,,FEW_SEATS_AVAILABLE,1,1,71377809,82.0,,IN_TRANSIT_TO,2025-11-14 15:45:40
48,y1854,1854,42.329921,-71.084367,2025-11-12 23:14:30,24.0,,MANY_SEATS_AVAILABLE,1,1,71466248,182.0,,IN_TRANSIT_TO,2025-11-13 04:14:34
49,y1856,1856,42.372958,-71.117238,2025-11-13 09:46:37,24.0,,FEW_SEATS_AVAILABLE,0,1,71465863,288.0,,IN_TRANSIT_TO,2025-11-13 14:46:44
50,y1859,1859,42.329879,-71.08418,2025-11-14 13:26:55,24.0,,MANY_SEATS_AVAILABLE,1,1,71379854,99.0,,IN_TRANSIT_TO,2025-11-14 18:27:05
51,y1860,1860,42.32984,-71.08428,2025-11-12 22:34:14,24.0,,MANY_SEATS_AVAILABLE,1,1,71466244,90.0,,IN_TRANSIT_TO,2025-11-13 03:34:22
52,y1862,1862,42.330134,-71.084136,2025-11-12 20:37:54,24.0,,MANY_SEATS_AVAILABLE,1,1,71466236,219.0,,IN_TRANSIT_TO,2025-11-13 01:38:01
53,y1863,1863,42.329918,-71.084305,2025-11-13 13:43:24,24.0,,FEW_SEATS_AVAILABLE,1,1,71468301,129.0,,IN_TRANSIT_TO,2025-11-13 18:43:30
54,y1869,1869,42.334235,-71.074136,2025-11-14 15:11:42,6.0,,MANY_SEATS_AVAILABLE,0,1,71377482,316.0,,STOPPED_AT,2025-11-14 20:11:50
55,y1874,1874,42.330158,-71.084124,2025-11-13 23:39:54,24.0,,FEW_SEATS_AVAILABLE,1,1,71468324,219.0,,IN_TRANSIT_TO,2025-11-14 04:40:04
56,y1876,1876,42.33032,-71.08403,2025-11-13 22:39:51,24.0,,MANY_SEATS_AVAILABLE,1,1,71466244,225.0,,IN_TRANSIT_TO,2025-11-14 03:40:01
57,y1877,1877,42.369328,-71.111017,2025-11-14 15:11:42,4.0,,MANY_SEATS_AVAILABLE,1,1,71377812,121.0,,IN_TRANSIT_TO,2025-11-14 20:11:50
58,y1883,1883,42.329833,-71.084183,2025-11-13 13:47:45,24.0,,FEW_SEATS_AVAILABLE,1,1,71468265,143.0,,IN_TRANSIT_TO,2025-11-13 18:47:51
59,y1884,1884,42.329941,-71.084339,2025-11-12 18:43:04,24.0,,MANY_SEATS_AVAILABLE,1,1,71466231,155.0,,IN_TRANSIT_TO,2025-11-12 23:43:11
60,y1885,1885,42.329903,-71.084334,2025-11-13 07:05:48,24.0,,MANY_SEATS_AVAILABLE,1,1,71466209,170.0,,IN_TRANSIT_TO,2025-11-13 12:05:55
61,y1887,1887,42.37301,-71.117317,2025-11-14 09:43:35,24.0,,MANY_SEATS_AVAILABLE,0,1,71377455,289.0,,IN_TRANSIT_TO,2025-11-14 14:43:46
62,y1889,1889,42.372854,-71.116934,2025-11-11 18:33:31,24.0,,MANY_SEATS_AVAILABLE,0,1,71664840,287.0,,IN_TRANSIT_TO,2025-11-11 23:33:42
63,y1890,1890,42.373048,-71.117545,2025-11-12 01:30:36,24.0,,MANY_SEATS_AVAILABLE,0,1,71667169,293.0,,IN_TRANSIT_TO,2025-11-12 06:30:44
64,y1892,1892,42.329917,-71.084248,2025-11-13 11:16:41,24.0,,MANY_SEATS_AVAILABLE,1,1,71466217,162.0,,IN_TRANSIT_TO,2025-11-13 16:16:47
65,y1895,1895,42.373254,-71.118247,2025-11-13 01:19:17,24.0,,MANY_SEATS_AVAILABLE,0,1,71468311,292.0,,IN_TRANSIT_TO,2025-11-13 06:19:24
66,y1897,1897,42.32979,-71.08414,2025-11-12 18:19:42,1.0,,MANY_SEATS_AVAILABLE,0,1,71465929,90.0,,STOPPED_AT,2025-11-12 23:19:51
67,y1903,1903,42.329875,-71.084342,2025-11-14 09:28:19,24.0,,MANY_SEATS_AVAILABLE,1,1,71379843,174.0,,IN_TRANSIT_TO,2025-11-14 14:28:29
68,y1904,1904,42.32992,-71.084381,2025-11-12 22:04:11,24.0,,MANY_SEATS_AVAILABLE,1,1,71466245,169.0,,IN_TRANSIT_TO,2025-11-13 03:04:20
69,y1906,1906,42.37126,-71.12122,2025-11-14 15:11:37,1.0,,MANY_SEATS_AVAILABLE,1,1,71379859,45.0,,STOPPED_AT,2025-11-14 20:11:50
70,y1913,1913,42.330075,-71.084251,2025-11-14 13:58:44,24.0,,FULL,1,1,71379890,214.0,,IN_TRANSIT_TO,2025-11-14 18:58:56
71,y1920,1920,42.330239,-71.084037,2025-11-13 21:55:32,24.0,,MANY_SEATS_AVAILABLE,1,1,71466233,221.0,,IN_TRANSIT_TO,2025-11-14 02:55:43
72,y1922,1922,42.366887,-71.106104,2025-11-14 15:11:43,5.0,,MANY_SEATS_AVAILABLE,1,1,71379862,134.0,,STOPPED_AT,2025-11-14 20:11:50
73,y3200,3200,42.329818,-71.08434,2025-11-11 18:56:58,24.0,,MANY_SEATS_AVAILABLE,1,1,71557831,147.0,,IN_TRANSIT_TO,2025-11-11 23:57:05
74,y3207,3207,42.330188,-71.084186,2025-11-14 12:41:02,24.0,,MANY_SEATS_AVAILABLE,1,1,71375334,218.0,,IN_TRANSIT_TO,2025-11-14 17:41:11
75,y3212,3212,42.330355,-71.084028,2025-11-12 14:18:18,24.0,,MANY_SEATS_AVAILABLE,1,1,71375335,219.0,,IN_TRANSIT_TO,2025-11-12 19:18:29
76,y3214,3214,42.34442,-71.06688,2025-11-11 17:03:01,1.0,,MANY_SEATS_AVAILABLE,0,1,71557765,180.0,,STOPPED_AT,2025-11-11 22:03:15
77,y3217,3217,42.329862,-71.084088,2025-11-12 19:29:54,24.0,,MANY_SEATS_AVAILABLE,1,1,71373304,98.0,,IN_TRANSIT_TO,2025-11-13 00:30:02
78,y3218,3218,42.329887,-71.084057,2025-11-13 19:34:29,24.0,,MANY_SEATS_AVAILABLE,1,1,71373304,212.0,,IN_TRANSIT_TO,2025-11-14 00:34:39
79,y3227,3227,42.329935,-71.084344,2025-11-12 18:34:14,24.0,,MANY_SEATS_AVAILABLE,1,1,71373300,179.0,,IN_TRANSIT_TO,2025-11-12 23:34:19
80,y3228,3228,42.372919,-71.117175,2025-11-12 18:29:27,24.0,,MANY_SEATS_AVAILABLE,0,1,71375295,313.0,,IN_TRANSIT_TO,2025-11-12 23:29:37
81,y3229,3229,42.329818,-71.084174,2025-11-13 09:34:48,24.0,,MANY_SEATS_AVAILABLE,1,1,71375308,114.0,,IN_TRANSIT_TO,2025-11-13 14:35:00
